timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Corrected_Mag_x,Corrected_Mag_y,Corrected_Mag_z
1730865122442,33.5035,244.9626,-207.5785,-16.2005,-6.1552,-2.9201,-3.3028,-1.2548,0.5953,-3.56820536815379,-1.23033210010881,0.0263889251601979
1730865122461,41.2345,244.9626,-231.2875,-12.5972,-8.1927,-4.0661,-2.57,-1.6702,0.8289,-2.83540536815379,-1.64573210010881,0.259988925160198
1730865122482,31.2979,244.9626,-193.6941,-8.322,-6.0486,-3.1302,-1.6966,-1.2331,0.6381,-1.96200536815379,-1.20863210010881,0.0691889251601978
1730865122502,29.7427,244.9626,-124.429,-5.2852,-2.6165,-1.9962,-1.0775,0.5334,0.4069,-1.34290536815379,0.557867899891186,-0.162011074839802
1730865122522,42.8495,226.5547,-147.8239,-3.3661,0.9651,0.0634,0.6862,0.1967,0.0129,0.42079463184621,0.221167899891186,-0.556011074839802
1730865122541,53.4815,174.9946,-197.3278,-5.1834,-2.3129,1.8399,-1.0567,0.4715,0.3751,-1.32210536815379,0.495967899891186,-0.193811074839802
1730865122562,51.6423,141.6107,-207.8103,-7.7161,-3.8128,3.1781,-1.5731,0.7773,0.8372,-1.83850536815379,0.801767899891186,0.268288925160198
1730865122581,32.4044,143.4649,-90.6637,-7.2443,-2.4303,5.0169,-1.4769,0.4954,1.0228,-1.74230536815379,0.519867899891186,0.453888925160198
1730865122601,37.1447,141.5509,-77.9606,-5.4989,0.6795,5.0558,-1.121,0.1385,1.0307,-1.38640536815379,0.162967899891186,0.461788925160198
1730865122621,66.2071,126.7019,-101.1312,-4.1942,0.2143,5.0002,0.7541,0.1463,1.035,0.48869463184621,0.170767899891186,0.466088925160198
1730865122641,65.6912,59.8443,-117.9017,-5.5732,-2.6417,6.9371,-1.1362,0.5385,1.4143,-1.40160536815379,0.562967899891186,0.845388925160198
1730865122660,50.8871,40.8383,-86.7459,-8.9567,-2.1992,7.5227,-1.826,0.4483,1.5336,-2.09140536815379,0.472767899891186,0.964688925160198
1730865122681,48.001,73.654,-76.8316,-9.3836,-2.4668,7.4652,-1.6323,0.5651,1.5108,-1.89770536815379,0.589567899891186,0.941888925160198
1730865122701,41.5187,114.0287,-78.5513,-4.2284,-2.2794,6.9874,0.862,0.4647,1.4245,0.59659463184621,0.489167899891186,0.855588925160198
1730865122721,35.2157,78.327,-54.476,-2.7021,0.4879,7.5598,0.5509,0.0994,1.5412,0.28549463184621,0.123867899891186,0.972288925160198
1730865122731,34.9391,58.3564,-34.4381,-2.7237,1.3052,7.2958,0.5552,0.2661,1.4874,0.28979463184621,0.290567899891186,0.918488925160198
1730865122740,56.091,22.9911,-29.466,-3.4637,1.6136,7.3551,0.9908,0.0776,1.3872,0.72539463184621,0.102067899891186,0.818288925160198
1730865122750,62.0874,12.1498,-49.5861,-6.6767,-2.1124,7.5508,-1.3612,0.4306,1.5394,-1.62660536815379,0.455067899891186,0.970488925160198
1730865122771,46.2066,32.6661,-60.263,-8.8567,-3.6877,7.8047,-1.8056,0.7518,1.5911,-2.07100536815379,0.776267899891186,1.0221889251602
1730865122791,30.4829,75.7101,-52.5619,-7.6646,-2.9997,8.3843,-1.4735,0.3825,1.7215,-1.73890536815379,0.406967899891186,1.1525889251602
1730865122809,31.425,91.3815,-45.1898,-6.6749,0.9562,8.3023,-1.3608,0.1949,1.6926,-1.62620536815379,0.219367899891186,1.1236889251602
1730865122830,39.141,103.3967,-50.6777,-5.2331,0.3089,7.6616,-1.0668,0.0629,1.562,-1.33220536815379,0.0873678998911862,0.993088925160198
1730865122850,50.6404,109.9314,-91.7254,-3.538,0.4191,7.1593,0.6094,0.273,1.4519,0.34399463184621,0.297467899891186,0.882988925160198
1730865122870,46.7225,81.4448,-87.0449,-3.335,-3.7883,7.8873,0.6799,0.7723,1.608,0.41449463184621,0.796767899891186,1.0390889251602
1730865122889,27.8062,69.1679,-35.8139,-4.3403,-2.977,8.3705,0.8848,0.6069,1.7065,0.61939463184621,0.631367899891186,1.1375889251602
1730865122910,31.8586,81.542,-36.0606,-4.9864,-1.8812,8.5975,-1.0078,0.3905,1.7601,-1.27320536815379,0.414967899891186,1.1911889251602
1730865122930,42.543,96.9068,-45.2197,-3.7745,-1.7693,8.9208,0.7695,0.3607,1.8187,0.50409463184621,0.385167899891186,1.2497889251602
1730865122950,48.1655,101.8789,-33.3016,-2.498,-1.495,8.0891,0.5092,0.3048,1.6491,0.24379463184621,0.329267899891186,1.0801889251602
1730865122969,48.2029,96.5554,-43.3729,-2.5093,-3.6134,7.7993,0.4604,0.748,1.59,0.19499463184621,0.772467899891186,1.0210889251602
1730865122990,35.9709,93.1311,-43.5075,-1.5232,-4.011,8.4502,0.3105,0.8177,1.7227,0.0450946318462096,0.842167899891186,1.1537889251602
1730865123010,22.6696,75.8222,-27.2753,-1.504,-3.2368,8.9597,0.3066,0.6599,1.8266,0.0411946318462096,0.684367899891186,1.2576889251602
1730865123029,20.9799,62.4388,0.0897,-3.232,-1.2813,9.8064,0.6589,0.2612,1.9992,0.39349463184621,0.285667899891186,1.4302889251602
1730865123039,26.6249,68.8838,-7.9777,-3.4643,-1.5124,10.0536,0.7062,0.3083,2.0496,0.44079463184621,0.332767899891186,1.4806889251602
1730865123060,33.7278,86.9552,-33.1297,-3.2075,-2.5902,9.4818,0.6539,0.528,1.9331,0.38849463184621,0.552467899891186,1.3641889251602
1730865123079,35.8438,104.7799,-33.9147,-1.3352,-2.8237,8.9016,0.1115,0.6386,1.7264,-0.15390536815379,0.663067899891186,1.1574889251602
1730865123099,34.3185,90.4843,-31.2979,0.4113,-3.9044,8.3202,0.0838,0.796,1.6962,-0.18160536815379,0.820467899891186,1.1272889251602
1730865123109,30.924,88.5552,-27.1109,0.4418,-3.8925,8.3711,0.09,0.7935,1.7066,-0.17540536815379,0.817967899891186,1.1376889251602
1730865123119,27.9183,88.7123,-24.3893,0.3538,-3.6655,8.3711,0.0721,0.7473,1.7066,-0.19330536815379,0.771767899891186,1.1376889251602
1730865123128,25.0398,89.2132,-28.337,0.1568,-3.4799,8.2472,0.0305,0.7025,1.6871,-0.23490536815379,0.726967899891186,1.1181889251602
1730865123138,21.735,83.6654,-43.6122,0.0808,-3.4458,8.5292,0.0052,0.726,1.7388,-0.26020536815379,0.750467899891186,1.1698889251602
1730865123149,19.6864,77.6092,-46.401,0.1724,-3.5506,8.934,0.0351,0.7238,1.8214,-0.23030536815379,0.748267899891186,1.2524889251602
1730865123159,16.9499,76.1737,-41.1149,0.2712,-3.0608,8.9765,0.0552,0.624,1.83,-0.21020536815379,0.648467899891186,1.2610889251602
1730865123169,16.0302,77.9905,-32.2923,0.246,-2.4854,8.9016,0.0501,0.5067,1.8148,-0.21530536815379,0.531167899891186,1.2458889251602
1730865123179,17.9667,80.9663,-31.0362,0.1125,-1.9878,8.513,0.0229,0.4052,1.7355,-0.24250536815379,0.429667899891186,1.1665889251602
1730865123189,22.8491,84.4654,-35.7615,0.1113,-2.1309,8.3777,0.1228,0.4843,1.6812,-0.14260536815379,0.508767899891186,1.1122889251602
1730865123199,32.9353,88.1141,-56.0685,1.0603,-2.9243,7.879,0.2161,0.5961,1.6063,-0.0493053681537904,0.620567899891186,1.0373889251602
1730865123209,35.4849,86.1701,-59.2462,1.4076,-3.6901,7.7035,0.2869,0.7523,1.5705,0.0214946318462096,0.776767899891186,1.0015889251602
1730865123219,34.4606,82.9701,-53.1301,1.7088,-4.2403,7.5059,0.3483,0.8645,1.5302,0.0828946318462096,0.888967899891186,0.961288925160198
1730865123229,31.4773,76.7419,-43.2458,1.7705,-4.4972,7.4509,0.3609,0.9168,1.519,0.0954946318462096,0.941267899891186,0.950088925160198
1730865123239,29.01,67.8819,-36.2326,1.5172,-4.5732,7.5227,0.3093,0.9323,1.5336,0.0438946318462096,0.956767899891186,0.964688925160198
1730865123248,25.0622,62.4238,-30.9913,1.2903,-4.4822,7.5029,0.2886,0.9088,1.5355,0.0231946318462096,0.933267899891186,0.966588925160198
1730865123258,25.1519,61.2425,-34.9989,1.4789,-4.6175,7.961,0.3015,0.9414,1.623,0.0360946318462096,0.965867899891186,1.0540889251602
1730865123269,23.021,57.3321,-39.6868,1.1178,-4.7068,8.0712,0.2279,0.9595,1.6455,-0.0375053681537904,0.983967899891186,1.0765889251602
1730865123279,19.3948,59.3882,-33.8998,1.131,-4.3685,8.0891,0.2305,0.8906,1.6491,-0.0349053681537904,0.915067899891186,1.0801889251602
1730865123289,16.1125,62.7827,-28.9352,1.3489,-3.832,8.1131,0.275,0.7812,1.654,0.00959463184620962,0.805667899891186,1.0850889251602
1730865123298,13.9816,63.8743,-33.4512,1.5423,-3.3446,7.8185,0.3769,0.6359,1.5518,0.11149463184621,0.660367899891186,0.982888925160198
1730865123309,18.4826,65.25,-41.9598,1.9711,-3.1195,7.4203,0.4857,0.6605,1.5128,0.22029463184621,0.684967899891186,0.943888925160198
1730865123319,21.5705,62.5061,-46.1917,2.565,-3.6649,6.8659,0.5229,0.7471,1.3997,0.25749463184621,0.771567899891186,0.830788925160198
1730865123329,22.3182,58.8948,-50.3413,2.9823,-3.8571,6.8264,0.608,0.7863,1.3917,0.34259463184621,0.810767899891186,0.822788925160198
1730865123339,21.892,54.289,-48.6141,3.3482,-3.9505,6.7234,0.6826,0.8054,1.3707,0.41719463184621,0.829867899891186,0.801788925160198
1730865123349,22.3332,45.8851,-42.4383,3.4572,-4.2218,6.5024,0.7048,0.8607,1.3256,0.43939463184621,0.885167899891186,0.756688925160198
1730865123359,23.2752,35.6344,-36.0232,3.2847,-4.8523,6.4976,0.6015,-1.0303,1.3817,0.33609463184621,-1.00583210010881,0.812788925160198
1730865123379,11.761,15.5966,-25.8473,1.6872,-4.8115,7.7975,0.3439,0.9809,1.5897,0.0784946318462096,1.00536789989119,1.0207889251602
1730865123388,7.9553,17.6153,-27.537,1.1041,-4.2451,7.7508,0.225,0.8654,1.5802,-0.0404053681537904,0.889867899891186,1.0112889251602
1730865123398,6.3627,25.7426,-32.1054,1.04,-3.7793,7.8167,0.212,0.7705,1.5936,-0.0534053681537904,0.794967899891186,1.0246889251602
1730865123408,9.0544,33.0624,-42.214,1.1789,-3.844,7.9191,0.2403,0.7836,1.6145,-0.0251053681537904,0.808067899891186,1.0455889251602
1730865123418,13.9143,41.7878,-61.6911,1.3663,-4.0098,7.7137,0.3563,0.8725,1.5489,0.0908946318462096,0.896967899891186,0.979988925160198
1730865123428,18.5499,42.8271,-63.164,2.0651,-4.8062,7.6586,0.421,0.9798,1.5614,0.15559463184621,1.00426789989119,0.992488925160198
1730865123438,19.0284,39.8738,-66.4613,2.1848,-5.0121,7.6431,0.4454,-1.0218,1.5582,0.17999463184621,-0.997332100108814,0.989288925160198
